population_annee,population,code_dep_population
1991,476982,1
1992,482557,1
1993,488244,1
1994,491135,1
1995,495127,1
1996,499310,1
1997,504201,1
1998,509520,1
1999,514331,1
2000,521103,1
2001,528195,1
2002,535616,1
2003,543136,1
2004,550939,1
2005,558968,1
2006,566740,1
2007,574377,1
2008,581355,1
2009,588853,1
2010,597341,1
2011,603827,1
2012,612191,1
2013,619497,1
2014,626127,1
2015,631877,1
2016,638425,1
2017,643350,1
2018,647634,1
2019,652432,1
2020,657856,1
2021,663202,1
2022,671289,1
2023,677187,1
2024,683034,1
2025,688626,1
2026,694054,1
1991,537263,2
1992,537755,2
1993,538219,2
1994,537926,2
1995,538324,2
1996,538017,2
1997,537751,2
1998,536629,2
1999,536181,2
2000,536260,2
2001,536626,2
2002,536784,2
2003,536651,2
2004,536464,2
2005,536798,2
2006,537061,2
2007,537820,2
2008,538790,2
2009,539870,2
2010,540508,2
2011,541302,2
2012,540888,2
2013,540067,2
2014,539783,2
2015,538659,2
2016,536136,2
2017,534490,2
2018,533316,2
2019,531345,2
2020,529374,2
2021,527468,2
2022,525558,2
2023,523228,2
2024,521152,2
2025,518817,2
2026,517141,2
1991,356432,3
1992,355195,3
1993,353824,3
1994,352441,3
1995,351058,3
1996,349376,3
1997,348200,3
1998,346640,3
1999,345072,3
2000,344710,3
2001,344551,3
2002,344355,3
2003,344005,3
2004,343547,3
2005,343558,3
2006,343309,3
2007,343114,3
2008,342807,3
2009,343046,3
2010,342908,3
2011,342729,3
2012,342911,3
2013,343431,3
2014,343062,3
2015,341613,3
2016,339384,3
2017,337988,3
2018,337171,3
2019,335975,3
2020,335628,3
2021,334872,3
2022,334715,3
2023,333922,3
2024,333234,3
2025,332599,3
2026,331959,3
1991,131857,4
1992,132739,4
1993,134040,4
1994,135216,4
1995,136392,4
1996,137453,4
1997,138373,4
1998,139454,4
1999,139515,4
2000,141454,4
2001,143574,4
2002,145750,4
2003,147970,4
2004,150051,4
2005,152376,4
2006,154501,4
2007,156067,4
2008,157965,4
2009,159450,4
2010,160149,4
2011,160959,4
2012,161241,4
2013,161916,4
2014,161588,4
2015,161799,4
2016,162565,4
2017,163915,4
2018,164068,4
2019,164308,4
2020,165451,4
2021,166077,4
2022,167179,4
2023,168005,4
2024,168908,4
2025,169806,4
2026,170538,4
1991,114193,5
1992,114917,5
1993,115376,5
1994,116689,5
1995,117530,5
1996,118526,5
1997,119433,5
1998,120972,5
1999,121338,5
2000,122542,5
2001,123873,5
2002,125287,5
2003,126721,5
2004,128067,5
2005,129453,5
2006,130752,5
2007,132482,5
2008,134205,5
2009,135836,5
2010,136971,5
2011,138605,5
2012,139554,5
2013,139279,5
2014,139883,5
2015,140916,5
2016,141107,5
2017,141284,5
2018,140698,5
2019,141220,5
2020,140605,5
2021,140976,5
2022,141677,5
2023,141826,5
2024,141906,5
2025,142006,5
2026,142058,5
1991,981331,6
1992,989251,6
1993,993695,6
1994,998779,6
1995,998702,6
1996,1000154,6
1997,1002360,6
1998,1006282,6
1999,1010644,6
2000,1017956,6
2001,1026455,6
2002,1035271,6
2003,1044429,6
2004,1053182,6
2005,1063500,6
2006,1073184,6
2007,1082465,6
2008,1084428,6
2009,1079100,6
2010,1078729,6
2011,1081244,6
2012,1082014,6
2013,1080771,6
2014,1083312,6
2015,1082440,6
2016,1083704,6
2017,1083310,6
2018,1086219,6
2019,1094283,6
2020,1097410,6
2021,1103941,6
2022,1114579,6
2023,1119807,6
2024,1124992,6
2025,1129950,6
2026,1137850,6
1991,278688,7
1992,279438,7
1993,280263,7
1994,280897,7
1995,281487,7
1996,282838,7
1997,283811,7
1998,285181,7
1999,285889,7
2000,288386,7
2001,291079,7
2002,293922,7
2003,296960,7
2004,300021,7
2005,303117,7
2006,306238,7
2007,309456,7
2008,311452,7
2009,313578,7
2010,315090,7
2011,317277,7
2012,318407,7
2013,320379,7
2014,322381,7
2015,324209,7
2016,325157,7
2017,325712,7
2018,326606,7
2019,328278,7
2020,329325,7
2021,331415,7
2022,333229,7
2023,334451,7
2024,335833,7
2025,336947,7
2026,338608,7
1991,295676,8
1992,294625,8
1993,294604,8
1994,294260,8
1995,293368,8
1996,292822,8
1997,292175,8
1998,291329,8
1999,290452,8
2000,289609,8
2001,289041,8
2002,288520,8
2003,287820,8
2004,287136,8
2005,286425,8
2006,285653,8
2007,284749,8
2008,284197,8
2009,283296,8
2010,283250,8
2011,283110,8
2012,282778,8
2013,280907,8
2014,279715,8
2015,277752,8
2016,275371,8
2017,273579,8
2018,271845,8
2019,270582,8
2020,269701,8
2021,268859,8
2022,267204,8
2023,265865,8
2024,264556,8
2025,263194,8
2026,262244,8
1991,136772,9
1992,136870,9
1993,136632,9
1994,136613,9
1995,136496,9
1996,136219,9
1997,136544,9
1998,136732,9
1999,137201,9
2000,138199,9
2001,139388,9
2002,140681,9
2003,142043,9
2004,143371,9
2005,144888,9
2006,146289,9
2007,148568,9
2008,150201,9
2009,151117,9
2010,152038,9
2011,152286,9
2012,152366,9
2013,152684,9
2014,152574,9
2015,152499,9
2016,153067,9
2017,153153,9
2018,153066,9
2019,153287,9
2020,153954,9
2021,154596,9
2022,155339,9
2023,155760,9
2024,156304,9
2025,156787,9
2026,157372,9
1991,290118,10
1992,290731,10
1993,291359,10
1994,291968,10
1995,292575,10
1996,292381,10
1997,292712,10
1998,292676,10
1999,292317,10
2000,293185,10
2001,294310,10
2002,295419,10
2003,296294,10
2004,297154,10
2005,298483,10
2006,299704,10
2007,300840,10
2008,301327,10
2009,303298,10
2010,303327,10
2011,303997,10
2012,305606,10
2013,306581,10
2014,308094,10
2015,309056,10
2016,308910,10
2017,310020,10
2018,310020,10
2019,310242,10
2020,311435,10
2021,311329,10
2022,311076,10
2023,311170,10
2024,311187,10
2025,310930,10
2026,311382,10
1991,300615,11
1992,301045,11
1993,301693,11
1994,302569,11
1995,303404,11
1996,304530,11
1997,305604,11
1998,308125,11
1999,309463,11
2000,313341,11
2001,317549,11
2002,321972,11
2003,326491,11
2004,331267,11
2005,336237,11
2006,341022,11
2007,345779,11
2008,349237,11
2009,353980,11
2010,356467,11
2011,359967,11
2012,362339,11
2013,364877,11
2014,365478,11
2015,366957,11
2016,368025,11
2017,370260,11
2018,372806,11
2019,374070,11
2020,375217,11
2021,376028,11
2022,377773,11
2023,378427,11
2024,379190,11
2025,379729,11
2026,381736,11
1991,269114,12
1992,268535,12
1993,267728,12
1994,267025,12
1995,266473,12
1996,265492,12
1997,265027,12
1998,264419,12
1999,264048,12
2000,265065,12
2001,266369,12
2002,267766,12
2003,269114,12
2004,270275,12
2005,271979,12
2006,273377,12
2007,274425,12
2008,275889,12
2009,277048,12
2010,276805,12
2011,275813,12
2012,276229,12
2013,277740,12
2014,278644,12
2015,279169,12
2016,278697,12
2017,279206,12
2018,279274,12
2019,279595,12
2020,279554,12
2021,279649,12
2022,279736,12
2023,279241,12
2024,278821,12
2025,278355,12
2026,278701,12
1991,1768054,13
1992,1777351,13
1993,1788025,13
1994,1794222,13
1995,1802202,13
1996,1809226,13
1997,1815271,13
1998,1824390,13
1999,1833982,13
2000,1846878,13
2001,1860948,13
2002,1876310,13
2003,1891344,13
2004,1905689,13
2005,1921821,13
2006,1937405,13
2007,1958926,13
2008,1966005,13
2009,1967299,13
2010,1972018,13
2011,1975896,13
2012,1984784,13
2013,1993177,13
2014,2006069,13
2015,2016622,13
2016,2019717,13
2017,2024162,13
2018,2034357,13
2019,2043110,13
2020,2048070,13
2021,2056943,13
2022,2069811,13
2023,2076707,13
2024,2083682,13
2025,2090225,13
2026,2099634,13
1991,621780,14
1992,625079,14
1993,628687,14
1994,631182,14
1995,633738,14
1996,637669,14
1997,641868,14
1998,644513,14
1999,647951,14
2000,651193,14
2001,654684,14
2002,658189,14
2003,661498,14
2004,664769,14
2005,668210,14
2006,671351,14
2007,673667,14
2008,678206,14
2009,680908,14
2010,683105,14
2011,685262,14
2012,687854,14
2013,689945,14
2014,691670,14
2015,693579,14
2016,693679,14
2017,694002,14
2018,694056,14
2019,694905,14
2020,697547,14
2021,700633,14
2022,704605,14
2023,706548,14
2024,709128,14
2025,711029,14
2026,713672,14
1991,158305,15
1992,157220,15
1993,156449,15
1994,155574,15
1995,154630,15
1996,153777,15
1997,152740,15
1998,151841,15
1999,150977,15
2000,150640,15
2001,150457,15
2002,150181,15
2003,150118,15
2004,149944,15
2005,149830,15
2006,149682,15
2007,149057,15
2008,148737,15
2009,148380,15
2010,148162,15
2011,147577,15
2012,147415,15
2013,147035,15
2014,146618,15
2015,146219,15
2016,145969,15
2017,145143,15
2018,144765,15
2019,144692,15
2020,144379,15
2021,144226,15
2022,144399,15
2023,144177,15
2024,143964,15
2025,143746,15
2026,143644,15
1991,342244,16
1992,342242,16
1993,342381,16
1994,341750,16
1995,341371,16
1996,340786,16
1997,340431,16
1998,339932,16
1999,339828,16
2000,340761,16
2001,341959,16
2002,343012,16
2003,343894,16
2004,344708,16
2005,345911,16
2006,347037,16
2007,349535,16
2008,351581,16
2009,351563,16
2010,351577,16
2011,352705,16
2012,353657,16
2013,353482,16
2014,353853,16
2015,353613,16
2016,353288,16
2017,352335,16
2018,351778,16
2019,352015,16
2020,351718,16
2021,350867,16
2022,351603,16
2023,351023,16
2024,350672,16
2025,350209,16
2026,350122,16
1991,530632,17
1992,533431,17
1993,535893,17
1994,538260,17
1995,540779,17
1996,543835,17
1997,547041,17
1998,552641,17
1999,556419,17
2000,561742,17
2001,567617,17
2002,573817,17
2003,579877,17
2004,586082,17
2005,592640,17
2006,598915,17
2007,605410,17
2008,611714,17
2009,616607,17
2010,622323,17
2011,625682,17
2012,628733,17
2013,633417,17
2014,637089,17
2015,639938,17
2016,642191,17
2017,644303,17
2018,646932,17
2019,651358,17
2020,655709,17
2021,661404,17
2022,668160,17
2023,672443,17
2024,677189,17
2025,681666,17
2026,687172,17
1991,321274,18
1992,321042,18
1993,320257,18
1994,319294,18
1995,318250,18
1996,316913,18
1997,316121,18
1998,315255,18
1999,314603,18
2000,314584,18
2001,314636,18
2002,314887,18
2003,314781,18
2004,314490,18
2005,314642,18
2006,314675,18
2007,314599,18
2008,313251,18
2009,311022,18
2010,311257,18
2011,311694,18
2012,311897,18
2013,311650,18
2014,310270,18
2015,308992,18
2016,307110,18
2017,304256,18
2018,303408,18
2019,302306,18
2020,300933,18
2021,299573,18
2022,299496,18
2023,298404,18
2024,297019,18
2025,295830,18
2026,294823,18
1991,237510,19
1992,236942,19
1993,236308,19
1994,235827,19
1995,235422,19
1996,234541,19
1997,233767,19
1998,233347,19
1999,232819,19
2000,233631,19
2001,234567,19
2002,235775,19
2003,236805,19
2004,237823,19
2005,239185,19
2006,240363,19
2007,242038,19
2008,242896,19
2009,243352,19
2010,243551,19
2011,242454,19
2012,241247,19
2013,240781,19
2014,241340,19
2015,241871,19
2016,241535,19
2017,241464,19
2018,240583,19
2019,240073,19
2020,239190,19
2021,239784,19
2022,240120,19
2023,239911,19
2024,239704,19
2025,239483,19
2026,239136,19
1991,495531,21
1992,497563,21
1993,499519,21
1994,500929,21
1995,502767,21
1996,504022,21
1997,505716,21
1998,506212,21
1999,506699,21
2000,508015,21
2001,509714,21
2002,511197,21
2003,512591,21
2004,514022,21
2005,515829,21
2006,517168,21
2007,519143,21
2008,521608,21
2009,524144,21
2010,524358,21
2011,525931,21
2012,527403,21
2013,529761,21
2014,531380,21
2015,533147,21
2016,533213,21
2017,533819,21
2018,533220,21
2019,534124,21
2020,535078,21
2021,535503,21
2022,537577,21
2023,538080,21
2024,538508,21
2025,538799,21
2026,539853,21
1991,538213,22
1992,537254,22
1993,537435,22
1994,536793,22
1995,537009,22
1996,536856,22
1997,539324,22
1998,541391,22
1999,542398,22
2000,545656,22
2001,549503,22
2002,553556,22
2003,557831,22
2004,562226,22
2005,566688,22
2006,570861,22
2007,576049,22
2008,581570,22
2009,587519,22
2010,591641,22
2011,594375,22
2012,595531,22
2013,597085,22
2014,597397,22
2015,598357,22
2016,598953,22
2017,598814,22
2018,599584,22
2019,600582,22
2020,603640,22
2021,605917,22
2022,609598,22
2023,611258,22
2024,613301,22
2025,615301,22
2026,618141,22
1991,130554,23
1992,129648,23
1993,128976,23
1994,127959,23
1995,127002,23
1996,126359,23
1997,125856,23
1998,125314,23
1999,124597,23
2000,124303,23
2001,124095,23
2002,123953,23
2003,123797,23
2004,123561,23
2005,123423,23
2006,123401,23
2007,123861,23
2008,123907,23
2009,123584,23
2010,123029,23
2011,122560,23
2012,121517,23
2013,120872,23
2014,120581,23
2015,120365,23
2016,119502,23
2017,118638,23
2018,117503,23
2019,116617,23
2020,115995,23
2021,115702,23
2022,115529,23
2023,114940,23
2024,114600,23
2025,114103,23
2026,113417,23
1991,387139,24
1992,387066,24
1993,387227,24
1994,387114,24
1995,386941,24
1996,386685,24
1997,387393,24
1998,388050,24
1999,388407,24
2000,390272,24
2001,392493,24
2002,394747,24
2003,396905,24
2004,398994,24
2005,401607,24
2006,404052,24
2007,406793,24
2008,409388,24
2009,412082,24
2010,414149,24
2011,415168,24
2012,416384,24
2013,416909,24
2014,416350,24
2015,415417,24
2016,414789,24
2017,413606,24
2018,413418,24
2019,413223,24
2020,412807,24
2021,413730,24
2022,416325,24
2023,416671,24
2024,417397,24
2025,417714,24
2026,418600,24
1991,486507,25
1992,488956,25
1993,491109,25
1994,492812,25
1995,495063,25
1996,496848,25
1997,497719,25
1998,498613,25
1999,499223,25
2000,501423,25
2001,503929,25
2002,506241,25
2003,508532,25
2004,510794,25
2005,513571,25
2006,516157,25
2007,520133,25
2008,522685,25
2009,525276,25
2010,527770,25
2011,529103,25
2012,531062,25
2013,533320,25
2014,534710,25
2015,536959,25
2016,538549,25
2017,539067,25
2018,541454,25
2019,543974,25
2020,545209,25
2021,547096,25
2022,548662,25
2023,549462,25
2024,550255,25
2025,550846,25
2026,553380,25
1991,417019,26
1992,419445,26
1993,422575,26
1994,424626,26
1995,427508,26
1996,429211,26
1997,432251,26
1998,435256,26
1999,437654,26
2000,441480,26
2001,445862,26
2002,450214,26
2003,454702,26
2004,459076,26
2005,463976,26
2006,468608,26
2007,473428,26
2008,478069,26
2009,482984,26
2010,484715,26
2011,487993,26
2012,491334,26
2013,494712,26
2014,499159,26
2015,504637,26
2016,508006,26
2017,511553,26
2018,514732,26
2019,516762,26
2020,517709,26
2021,519458,26
2022,521432,26
2023,522454,26
2024,523457,26
2025,524409,26
2026,526186,26
1991,517478,27
1992,522477,27
1993,525823,27
1994,528991,27
1995,531677,27
1996,534513,27
1997,537186,27
1998,539608,27
1999,540918,27
2000,544635,27
2001,548502,27
2002,552211,27
2003,555822,27
2004,559393,27
2005,563316,27
2006,567221,27
2007,572105,27
2008,577087,27
2009,582822,27
2010,586543,27
2011,588111,27
2012,591616,27
2013,595043,27
2014,598347,27
2015,601948,27
2016,602825,27
2017,601843,27
2018,599962,27
2019,599507,27
2020,599668,27
2021,598934,27
2022,601305,27
2023,601533,27
2024,601853,27
2025,601942,27
2026,601399,27
1991,398575,28
1992,401323,28
1993,403528,28
1994,405293,28
1995,406368,28
1996,406961,28
1997,407793,28
1998,408212,28
1999,407707,28
2000,409342,28
2001,411292,28
2002,413125,28
2003,415032,28
2004,416808,28
2005,418968,28
2006,421114,28
2007,422411,28
2008,423559,28
2009,425502,28
2010,428933,28
2011,430416,28
2012,432107,28
2013,432967,28
2014,433762,28
2015,434035,28
2016,433929,28
2017,433233,28
2018,431997,28
2019,431575,28
2020,431443,28
2021,431277,28
2022,432950,28
2023,433132,28
2024,433304,28
2025,433148,28
2026,433128,28
1991,838401,29
1992,838457,29
1993,839672,29
1994,840565,29
1995,841298,29
1996,844116,29
1997,847075,29
1998,849779,29
1999,852273,29
2000,855924,29
2001,860540,29
2002,865006,29
2003,869205,29
2004,873568,29
2005,878532,29
2006,883001,29
2007,885906,29
2008,890509,29
2009,893914,29
2010,897628,29
2011,899870,29
2012,901293,29
2013,903921,29
2014,905855,29
2015,907796,29
2016,908249,29
2017,909028,29
2018,911735,29
2019,915090,29
2020,917179,29
2021,921638,29
2022,927912,29
2023,930710,29
2024,933628,29
2025,936238,29
2026,941035,29
1991,588745,30
1992,593423,30
1993,598655,30
1994,602896,30
1995,605413,30
1996,608972,30
1997,612981,30
1998,618151,30
1999,622509,30
2000,630051,30
2001,638166,30
2002,646976,30
2003,655892,30
2004,664622,30
2005,674062,30
2006,683169,30
2007,689847,30
2008,694323,30
2009,701883,30
2010,709700,30
2011,718357,30
2012,725618,30
2013,733201,30
2014,736029,30
2015,738189,30
2016,742006,30
2017,744178,30
2018,745458,30
2019,748437,30
2020,751457,30
2021,756543,30
2022,764010,30
2023,768166,30
2024,772243,30
2025,775994,30
2026,780343,30
1991,938877,31
1992,955129,31
1993,970746,31
1994,979110,31
1995,991133,31
1996,1004166,31
1997,1016846,31
1998,1029466,31
1999,1044208,31
2000,1062514,31
2001,1082140,31
2002,1102414,31
2003,1122778,31
2004,1143706,31
2005,1165193,31
2006,1186330,31
2007,1202920,31
2008,1217344,31
2009,1230820,31
2010,1243641,31
2011,1260226,31
2012,1279349,31
2013,1298562,31
2014,1317668,31
2015,1335103,31
2016,1348183,31
2017,1362672,31
2018,1380672,31
2019,1400039,31
2020,1415757,31
2021,1434367,31
2022,1456261,31
2023,1473299,31
2024,1489751,31
2025,1506391,31
2026,1525593,31
1991,174899,32
1992,174102,32
1993,173735,32
1994,173194,32
1995,172650,32
1996,172560,32
1997,172401,32
1998,172580,32
1999,172484,32
2000,173522,32
2001,174681,32
2002,176049,32
2003,177185,32
2004,178515,32
2005,179995,32
2006,181375,32
2007,183615,32
2008,185266,32
2009,187181,32
2010,188159,32
2011,188893,32
2012,189530,32
2013,190276,32
2014,190625,32
2015,190932,32
2016,190664,32
2017,191091,32
2018,191283,32
2019,191377,32
2020,191819,32
2021,192437,32
2022,192649,32
2023,192822,32
2024,192920,32
2025,193053,32
2026,193563,32
1991,1223957,33
1992,1233378,33
1993,1243092,33
1994,1249226,33
1995,1256465,33
1996,1263427,33
1997,1270159,33
1998,1276453,33
1999,1286072,33
2000,1299777,33
2001,1314667,33
2002,1330095,33
2003,1345768,33
2004,1361225,33
2005,1377991,33
2006,1393758,33
2007,1409345,33
2008,1421276,33
2009,1434661,33
2010,1449245,33
2011,1463662,33
2012,1483712,33
2013,1505517,33
2014,1526016,33
2015,1548478,33
2016,1566679,33
2017,1583384,33
2018,1601845,33
2019,1623749,33
2020,1636391,33
2021,1654970,33
2022,1674980,33
2023,1689714,33
2024,1704597,33
2025,1718654,33
2026,1737878,33
1991,805887,34
1992,817317,34
1993,829197,34
1994,839568,34
1995,850037,34
1996,861681,34
1997,872270,34
1998,884890,34
1999,894537,34
2000,907747,34
2001,921521,34
2002,936987,34
2003,952865,34
2004,968476,34
2005,985113,34
2006,1001041,34
2007,1011207,34
2008,1019798,34
2009,1031974,34
2010,1044558,34
2011,1062036,34
2012,1077627,34
2013,1092331,34
2014,1107398,34
2015,1120190,34
2016,1132481,34
2017,1144892,34
2018,1159220,34
2019,1175623,34
2020,1188973,34
2021,1201883,34
2022,1217331,34
2023,1229560,34
2024,1241541,34
2025,1252904,34
2026,1268977,34
1991,805129,35
1992,812305,35
1993,819455,35
1994,826097,35
1995,832855,35
1996,840650,35
1997,848726,35
1998,857295,35
1999,866111,35
2000,876201,35
2001,887423,35
2002,898909,35
2003,910367,35
2004,921911,35
2005,933885,35
2006,945851,35
2007,955846,35
2008,967588,35
2009,977449,35
2010,988140,35
2011,996439,35
2012,1007901,35
2013,1019923,35
2014,1032240,35
2015,1042884,35
2016,1051779,35
2017,1060199,35
2018,1069228,35
2019,1079498,35
2020,1088855,35
2021,1098325,35
2022,1109232,35
2023,1117647,35
2024,1126416,35
